pos,neg,komment,result
"Удобный, компактный, шустрый, хорошая камера.",Аккумулятор,"Хотел бы поделиться опытом покупки телефона в OZON. Заказал, доставили, забрал. Всё как обычно. Пришёл домой, активировал. На вторые сутки я понимаю, что что-то не так с дисплеем: белый цвет белый только если смотреть на дисплей прямо, а если менять углы, как, например, при ходьбе, то белый цвет меняется на синий. Глаза от этого очень уставали и пользоваться телефоном за, на минуточку 71 000р., становится неприятно. Поискал схожие проблемы в интернете и да, оказывается это массовая проблема дисплеев на 12 и 12 mini, так же была описана проблема серо-зелёного свечения экрана на чёрном фоне. Проверил свой и да, в темноте чёрный цвет испускает фосфорное свечение. Обратился в тех. поддержку Apple с вопросом что делать и мне ответили, что данная проблема известна и компания работает над её устранению и у меня два варианта: подождать пока эту проблему поправят с обновлением прошивки либо вернуть телефон продавцу. Я выбрал второе. Через неделю мне вернули деньги и я перезаказал его заново. Вчера забрал с пункта выдачи и чтобы вы думали? Всё тоже самое что и в прошлый раз! Синий экран на белом фоне под углами и зелёное свечение. Написал в чат тех. поддержки что второй раз покупаю и второй раз одна и та же проблема и полностью описал ситуацию, в ответ на мои претензии по качеству телефона тех поддержка OZONа меня попросту забанила и удалила мой аккаунт на котором было 5000р на лицевом счёте и около 600 бонусных баллов. Звонок в службу поддержки ничего не дал - сказали только что они имеют право блокировать аккаунты без объяснения причины. Что делать с этим телефоном дальше я пока не знаю. Заявку на возврат мне по телефону сделать не могут, а в личном кабинете больше нет возможности её создать так как аккаунт удалён. Буду пытаться вернуть так как покупать телефон за 71 000 рублей и мириться с тем что он из коробки работает не так как должен - НЕДОПУСТИМО! Вот такие дела. Прикладываю фотографию свечения.",Ужасный
"Дизайн мне нравится больше чем 11 серия, выбирал из них, на этом все","Экран, oled ужасный экран, да он контрастнее, но особой разницы с ips вы не заметите, особенно если не будет всегда рядом держать два устройства, но от oled реально устают глаза, и посмотрите сами, на всех маках и айпадах стоят именно ips, так как на практике на них человек работает дольше и дольше смотрит в экран, именно поэтому приятный глазу ips там и стоит иначе бы люди избавлялись от них,Второй недостаток это акб, на день хватает, но 11 держит дольше пока новый, и об этом куча инфы в интернете","В 2020/2021 года лучше брать 11 айфон, со старым добрым экраном, который зарекомендовал себя уже лет как 5 наверно, начиная с 6 ой серии, за меньшие деньги и с топовым железом, а все эти сравнительные таблицы и цифры в которых указанно приемущество 12 серии,- только на бумаге вы и увидите, но никак не в эксплуатации",Обычный
"Дизайн, впервые со времен 4 / 4S субъективно приятен глазу.Материалы исполнения.Все так же хорошо и быстро работающий Face ID.Хороший, производительный камень.Неплохой экран.Нормальная камера, с традиционно кривым ББ на авто.","Клоунский lightning на месте, хоть другим концом провод и стал type-c.4Gb оперативки ему мало.14.4 Дерганная на уровне 6-7 летних андроидов, в первый день вообще повис с концами до ребута.Батарея вялая, любителям яблок не привыкать.Зарядник не положили, но эко-нормы сейчас всех достанут.Борода с датчиками, неизменная сл времен X, на месте.","Обычная трубка.Кому нужна экосистема яблочная или чей круг общения сидит в большинстве с яблоками, то да, вроде хорош.Для всех остальных, обычная балалайка за две цены.Любителям орать про развитый мир и популярность айфонов, они там продаются с контрактами на связь, за две пачки риса. Дайте тут на тех же условиях с пакетной связью - будет отлично, а так, своих денег не стоит.",Обычный
"Съёмка в условиях недостатка света, неплохой экран, ностальгический дизайн","Цена, удобство использования, сервисы","Перешёл с китайца за 25 т.р. (Не хочу рекламировать). Решил, что пора обзавестись серьезным телефоном. Но как же я разочаровался. Это же бред, купить телефон за 70к+ рублей и страдать. Трушные айфонщики мне говорят, что я просто не прочувствовал весь кайф Эппл. Нужно пару дней. Хожу с этим недоразумением уже 3. И все сильнее хочу его разбить. Неудобно абсолютно всё, от навигации и набора текста до будильника и отсутствия стандартизированного жеста «назад». Я должен найти заветную кнопку или жест для того что бы вернуться или закрыть что то в каждом приложении отдельно и по разному. Я должен парится и экономить заряд, чтоб эта железка дожила до вечера на своём нищебродском аккумуляторе. Отдельного мата достойна организация файловой системы. Могу перечислять идиотские решения долго.Ещё раз: телефон, неудобный, и не такой быстрый, как хвалят, и глюки случаются. И вы НИХРЕНА не можете с этим сделать, потому что это ЭППЛ и им виднее как должно быть. А тру-айфонщиков приглашаю на тест драйв Андройд телефона на недельку (только конечно не ноунейм, а тоже какого нибудь флагмана, кроме самсунга, тоже очень навязчиво подталкивают к тому что им хочется и своей экосистеме). А то мне кажется они не в курсе, что такое удобный интуитивно понятный интерфейс с возможностью кастомизации под себя и быстрый мощный телефон с хорошей батареей. Ориентировочно за половину стоимости айфона.Извините накипело.",Плохой
"Революционная камера, такая же как в прошлых моделяхОгромная память в 64 гб, хватает на всё с запасом, даже ещё остается на пару фотокВидео вне конкуренцииНовый дизайн, такого никогда не было и вот опять.Престиж, статусКрасивый цвет, синий просто шикарен. Особенно в чехле.Автономность.",Недостатков нет,"Перешёл на данный аппарат с XS и что могу сказать, это бомба ! После покупки этого смартфона я ощутил магию Apple во всей красе, о эти невероятные ощущения когда ты едешь утром на завод в маршрутке и люди замечают твой гаджет, ощущая собственную ничтожность. Ведь они слишком глупы что бы взять кредит на смартфон, меняющий представление о доходах большей части населения РФ. Камеры нового iPhone 12 снимают на удивление так же классно, как некоторые смартфоны Xiaomi среднего класса, нежно добавляя шумы на ночные снимки, так же как это делали все предыдущие флагманы Apple. Смартфон имеет революционно новый дизайн, который в точности повторяет iphone 4 и 4S. Сразу видно что компания вкладывает огромные средства на разработку внешнего вида своей продукции, что бы он не повторял дизайн ранее выпущенных аппаратов. Революционный процессор, мощности которого едва хватает рядовому пользователю, что бы позвонить, запостить сторис в инстаграмм и написать в ватсап. Батареи хватает на весь день, при условии что пол дня он проведёт в режиме ожидания а остальные пол дня в чехле с пауэр банком.Советую ли я покупать его за такие крохотные деньги ? Конечно, да ! Ведь это отличная возможность доказать окружающим, что вы стали таким, а не родились.",Отличный
"Что нравится лично мне:- Отличный OLED экран с высоким разрешением. Сравнивал с 11ым (у которого разрешение не дотягивает даже до full hd), экран просто небо и земля, это и стало основным фактором выбора именно 12го айфона. Вначале очень сомневался, боясь за глаза из-за ШИМ в олед матрицах, тем более телефон использую в основном в ночное время на минимальной яркости, но на практике оказалось, что глаза вообще никак не устают, по крайней мере мои, хотя был уверен, что чувствителен к мерцаниям.- Звук. Был просто потрясен звуку с колонок самого телефона. Я вообще ничего от колонок телефона не ждал, просто случайно запустил музыку без наушников и немного опешил, ибо звучание очень глубокое, с басами, а главное с хорошим стерео, за что можно простить челку. С таким звуком намного приятней смотреть видео + намного чаще начал запускать музыку именно с телефона.- Форм фактор. Очень давно ждал возвращение прямоугольных граней, потому что их тупо удобней держать в руках, по сравнению с тем же 11ым айфоном, тем более из-за этого телефон стал чуть меньше, при тех же размерах экрана.- Ceramic Shield. Сам я конечно не проверял, но просмотрев миллион видосов с краш тестами нового экрана был удивлен его прочности, учитывая свою криворукость (прошлый телефон уронил несколько раз в первые же дни после покупки телефона). Так что надеюсь тесты не врут.- Скорость и плавность работы. Новый проц работает как надо, никаких подергиваний и зависаний + оболочка хорошо проработана, превращая использование телефона в приятную игру.- Магнитная зарядка. Пока что не покупал маг сейф, но выглядит довольно удобно, к тому же телефон теперь оснащен довольно мощными магнитами, что позволяет немного подшаманив прилепить его на дверь холодоса рядом с магнитами из Геленджика.","Итак, самое главное, минусы:- Цена, брал версию на 128гб за 78к рублей + адаптер питания на 20w за 1900 рублей- Отсутствие адаптера питания и наушников. Особенно обидно для меня, человека, который покупает айфон впервые.- Камеры вообще не вау, они просто хорошие, ничего больше. Сравнивали ночной режим с 11ым айфоном, особо ничем не отличается, в 12ом просто чуть-чуть ярче получаются фотки и срабатывает небольшой цветокор. Особенно расстроила фронталка, ибо переходил я с Xiaomi, который оставлял некоторые функции бьюти фильтра даже при полном его программном отключении, а теперь ничего такого нет и теперь я снова урод на фотках. С другой стороны, зато честно, но всё же фронталку теперь включаю намного реже.- Ceramic Shield. Да, я писал об этом в плюсах, но за прочность приходится платить тем, что экран царапается от любого прикосновения, так что защитное стекло обязательно, благо с новым форм фактором приклеить его намного легче.- Телефон почти 80к временами подлагивает. Только сегодня был баг с тем, что во всех приложениях перестали воспроизводится видео. Пришлось перезагружать, а кнопки перезагрузки на айфоны до сих пор кстати не подвезли, что считаю очень тупым решением. Надеюсь исправят обновлениями.- Лайтнинг вместо тайп си. Серьезно, у меня даже на самых дешевых устройствах порт тайп си , а здесь до сих пор лайтнинг. Хотя со следующим поколением телефонов это всё перестанет быть актуальным, ибо Эпл серьезно нас готовят к тому, что уберут порт зарядки и оставят только маг сэйф.- Просто худшее олеофобное покрытие, которое могло быть + поверхность экрана, которая ощущается как пластик из экранов древних Nokia 5800. Даже у дешевого защитного стекла, который я наклеил на телефон, олеофобка лучше.- Отсутствие always on при полной возможности его реализации.- Некоторые минусы оболочки, которые после перехода с андроида кажутся беспросветной тупостью (автоматическое включение вайфая, требование платежных данных для установки приложений)","Всё это сугубо личное мнение человека, который перешел с Xiaomi на айфон. Выбор был очень трудным, ибо в 2020ом году вышло не очень много хороших моделей телефонов, а те, что вышли, получились довольно спорными, в том числе и данный айфон. Мой выбор был между iPhone 11, iPhone 12, iPhone 12 mini, Pixel 5 и некоторыми другими брендами типа Oneplus, Samsung и тот же Xiaomi. Одиннадцатый айфон не устроил качеством экрана, мини оказался слишком маленьким для просмотра видео, а пятый пиксель на момент покупки айфона стоил 98 тысяч рублей и это с сомнительной гарантией и не самой топовой начинкой, остальные же телефоны не устроили по разным причинам.В целом, телефоном я пока что доволен, будем смотреть как он поведет себя дальше.",Хороший
"Отличный фотоапарат, легкий вес",Только цена,"Перешел с 8+ который уже начал подтормаживать да и его размер уже поднадоел, у 12 размер отличный и есть все новые фичи",Отличный
Эргономичный сидит в руке и легче чем 11-й,"Цена, переплачивать 20к за 5G(который будет в лучшем случае через два года...) , отсутствие зарядки и наушников( хотя хз у меня хорошая беспроводная зарядка и AirPods), но само чувство что их нету, а по факту ты за них платишь.... батарея!! По сравнению с 11-м полный шлак. Эпл провела все диагностики . Телефон новый , аппаратно все гуд, но садиться в режиме ожидания чуть ли не в 5 раз быстрее .","Пока очень недоволен, по сравнению с 11-м , вообще не понимаю зачем я поменял((( жду пока выпустят новую прошивку т.к. после 11-го меня не устраивает заряжать телефон по 2 раза в день если им пользоваться.( я говорю про использование , не норм игры)",Ужасный
,"Отзыв о Яндекс.Маркет.Заказывала через эту компанию товар, оплатила сразу при оформлении заказа. На пункте выдачи Яндекс.Маркет было обнаружено, что товар привезли совсем другой. На месте возврат отказались оформлять. Такие правила компании. Не буду описывать сколько времени ушло на выяснение причин и т.д., учитывая, что операторы тех.поддержки постоянно меняются, история переписки не сохраняется, чат каждые 24 часа зачищается, обратная связь с клиентом не информативна и не качественна. Такие правила компании. Предложили оформить возврат через Почту России или курьером за свой счет, и после поступления товара на их склад в течение 10 дней возвращают стоимость товара. Снова такие правила компании. О возврате товара через их службу доставки и речи быть не может. Почему не известно. Номер телефона, который они указывают для связи при возврате товара, не принадлежит не их компании, не их складу и вообще никакого отношения не имеет к яндекс.маркет. ОБХОДИТЕ ЯНДЕКС.МАРКЕТ СТОРОНОЙ. НЕ ЗАКАЗЫВАЙТЕ ЧЕРЕЗ НИХ ТОВАР. НЕ ТЕРЯЙТЕ СВОИ ДЕНЬГИ.",,Ужасный
"Быстродействие, автономность и небольшие размеры! Что и было решающим фактором при выборе телефона! Я не яблокофил да и к андроиду ровно дышу. Но компактных размеров у андроида с хорошей начинкой нет. Только лопаты.В режиме просмотра ютуба через мобильный интернет хватает почти на весь день. В режиме обычного пользования (звонки, месенжеры, соцсети) протягивает и почти 2 суток.Камера просто песня! Сравниваю с Xiaomi redmi 4x. Наверное не очень уместно, но больше не с чем.ФейсАйди классная штука! Но с маской сейчас не особо актуальна.В общем все быстро, шустро и без глюков. Больше требований к телефону никаких не предъявляю.","Перешёл с андроида. Пользовал его 5 лет почти.Это не недостатки, а придирки.Чего не хватает лично мне:- нет короткого виброотклика при исходящем звонке, когда вызываемый абонент снимает трубку.- нет индикации включённого будильника. Только если потянуть шторку справа, тогда отобразиться иконка. И муторная установка будильника, на мой взгляд много лишних движений.- на клавиатуре отсутствуют точка и запятая. Надо переключать раскладку. Про двойной пробел знаю. Но все равно неудобно.- подглючивает фейсайди. При равных условиях бывает не распознаёт лицо. Не знаю от чего зависит.- в комплекте поставки нет зарядки. Только провод. Пришлось докупать быструю зарядку и провод для зарядки в машину.- дополню еще про клавиатуру. Она УБОГА. Интеллектуальный ввод предлагает любые варианты, кроме нужного. И есть полоска над клавой, того самого ввода, далеко не везде (т.е. например ватсап, заметки и тд, но при создании, например, нового контакта - извините, тут наши полномочия все).А ВОТ ТЕПЕРЬ ЖИРНЫЙ МИНУС - ОН ТЕРЯЕТ СВЯЗЬ! Проблема у многих. Например в тоннеле метро, связь теряется (ну это логично), но при выезде из тоннеля он не подключается заново. Приходится активировать/деактивировать режим полета, только потом опять появляется связь. Пробовал ждать несколько часов. Не находит сеть. Может на 15 оси это пройдет...","Покупал за 65 в июле. Жаба давила, да и давит до сих пор🤣Посмотрим, как будет вести себя через год!",Отличный
"Айфон это айфон. У него нет проблем, отличное устройство за свои деньги на долгое время.",Нет,"Ну а что тут еще говорить, все как всегда супер, пользуюсь год и никаких проблем",Отличный
"Красивый, быстрый","Бедненько в плане настроек, ну и прочие ""прелести"" бренда))). После хорошего Андроида такое впечатление, что пересел из Лексуса в Рено Дастер. Покупал подруге, но настраивать пришлось мне. В общем, в очередной раз убедился, что iPhone - это не моё.",,Обычный
"Купила, чтобы не парится с телефоном. Избежать лагов через полгода/год, как с андройдами (были топовые модели разных фирм)Избежать проблемы с зарядкой",Цена),,Отличный
"Привезли быстро, абсолютно новый , дали проверить айфон перед покупкой. Покупала в магазине GSM store and service. Магазином довольна",Не нашла,Довольна покупкой и магазином,Отличный
"IOS, дизайн, надежность, передача цвета на фото.","Сильные блики в камере. На каждом фото, где есть темный фон и источники освещения заметны «зайчики», что говорит о плохом качестве оптики.Аккумулятор разряжается за пол дня, спустя 4 месяца использования.","Все хорошо, но 12мп камера в 21 году воспринимается ущербно. Еще посторонние зайчики на каждом фото с темным фоном.",Обычный
,Цена!,"А вы не о**енели с такими ценами? Прошлогодний 12ый айфон продаете по цене только что вышедшего, нового айфон 13? На фото скрин с вашего яндекс маркета и первого попавшегося ритейлера... ставьте его сразу за сотку, че стесняться то",Ужасный
"Удобство использования, работает как швейцарские часы. С AirPods Pro так вообще высший класс.","Быстрая зарядка вообще не быстрая, дополнительно нужно покупать слишком много всего.",,Отличный
"Дизайн, экран, скорость работы, камера, аккумулятор","Комплект, разъем lightning","Максимально быстрый смартфон Apple cо старо-новым дизайном, с наконец качественным OLED-экраном от края до края, защитой передней панели Ceramic Shield, более светосильным широкоугольным объективом, а также ночным режимом, который можно использовать с фронтальной и сверхширокоугольной камерами. Считаю именно его лучшим и оптимальным вариантом для покупки из всей новой линейки. Отличие от Pro версии - лишь в телеобъективе и совсем уж незначительных мелочах которые не стоят переплат. Да, никакой революции здесь нет, но есть логичное развитие тех элементов, к которым мы давно уже привыкли.",Отличный
"Прекрасные ровные боковые грани, удобный компромиссный размер экрана достаточный размер аккумулятора","Дорожает. Экран без вауэфекта (плавности мало в 21 году, бровь да и герцовка может и маркетинг, но игнорировать сложно). Всё еще проприетарный разьем, хотя в ipad стоит Type-C.","11я модель более сбалансирована, цены комфортнее, но размер экрана и камера стали определяющими факторами. Ну и ровные грани, то за что я любил 4,5 и SE",Отличный
"Все тот же старый, добрый айфон","Брал фиолетовый, цвет не такой сочный оказался, как в рекламе, но все равно понравился!",,Отличный
Внешний видСкорость работыКамераЭкран,"Аккумулятор плохо держит зарядАккумулятор очень плохо держит зарядАккумулятор хуже чем на 11ЦенаКомплектРазница в цене с 11 в 25 тыс. , а по факту только корпус","Купил 23 июня это чудо техники, но с первого же дня понял что, что то не то. По скорости работы проблем нет, но АККУМУЛЯТОР это жесть ещё и какая. С 6 утра 100 % заряда только в режиме разговора в 2 часа дня остаток 15 % (((( что огорчает очень 70 К ещё и носи с собой павер банк в кармане. ИТОГ через 10 дней сдал на экспертизу но перед этим созванивался со службой Apple так там сообщили что должны либо поменять либо вернуть деньги за устройство без проблем, но по факту не так! Взяли на экспертизу пришло решение о замене устройства на новое в связи с заводским браком( либо возврат денег) я решил взять бабло и купить 11 но не так все просто МТС начал чудить мол ждите ещё и решения бухгалтерии в течении 14 дней. ЬКороче ребята не берите 12 хоть он и прикольный весь косяк и за модуля 5 g а его ни одна прошивка не поправит и Apple это знает! Не советую даже врагу",Ужасный
"Да это просто лучший айфон который только может быть на данный момент, я не знаю даже что ещё можно добавить если он идеальный во всех смыслах!",Недостатков не обнаружено.,,Отличный
"Дизайн, простота использования",Цена,"Брал не себе, так что...",Хороший
"Качество, скорость",Нет,,Отличный
"Очень удобный, легкий",Батарея маловата,,Хороший
"Легкий, отличный экран, прекрасный звук, достойная камера, быстродействие, переход к дизайну iphone 4, 5",Не вызвал «вау» эффектаКомплектация (Не крайне важно для меня),"Перешел на iPhone 12 с iPhone 8 plus, когда только начал пользоваться новым телефоном первые ощущения были положительные: телефон без кнопки, он меньше, а экран больше и экран очень контрастный цветастый передает изображение супер, очень шустрый, ну и камера конечно сильно отличается от 8 plus в лучшую сторону.Когда начал сравнивать их «лоб в лоб» посетило ощущение, что различия не такие уж большие, чтобы сказать что 8 plus отстой или 12 супер крутой.Да, конечно, по всем параметрам 12 превосходит 8 plus но сказать, что это новая эра или шедевр мобильной индустрии не получится. (По крайней мере у меня)Ставлю 5 звезд. В целом телефон получился что надо. Габариты, вес, экран, камера, звук- на высоте!",Отличный
"Дизайн, идеальный экран, работать с фотографиями очень приятно, да и просто смотреть видео, фильмы. Фотографии даже прям сильно четкие и яркие. Поначалу непривычно было.",цена,"Перейти на этот аппарат решалась несколько месяцев. Останавливала по большей части цена. Но благодаря программе рестор апгрейд взяла себе все же новенький аппарат.Думаю, про прочность все таки не наврали. Случайно, сама того не желая, проверила на прочность, падал телефон + - с 1,5 метра с не маленьким разгоном для телефона, так что в итоге, стекла целые , но грани реально сильно коцаются. Имею покоцанную 12 в первую неделю пользования) Надо было сразу чехол взять",Отличный
Отличная камера и мощный процессор. Великолепный экран,Нет,"Шикарный телефон, пользуюсь с удовольствием",Отличный
"Экран супер, очень насыщенные цвета, корпус выше всяких похвал, датчик распознавания лиц работает на отлично. Интерфейс доработали, с каждым разом радует все больше. Камера снимает на твёрдую 4+, некоторые китайцы, в два раза дешевле, делают более чёткие фотографии, но хорошо, что есть ночная съёмка.","Батарея!!! Это просто жесть!! Если носить телефон в кармане и только изредка отвечать на звонки, то хватит до вечера. Начинаешь включать видосики, пару раз зайти в требовательную игру, и всё. Заряжаю с вечера, утром от 100% остаётся 90-87, это при том, что телефон на WiFi , всю ночь. Днём при активном использовании, остаётся 20-15% , уже к обеду.Дополняю спустя две недели: отключил все, что может есть батарею, ( действительно много чего не нужного), телефон стал жить сутки!!!","Телефон отличный. Отключив все ненужные фишки( загуглите на ютюбе), телефон словно рождается вновь, его теперь хватает на сутки с лихвой. После решения проблемы аккумулятора, лучше телефона не найти!!! Интерфейс просто создан для комфорта, по крайней мере среди андроидов я пока не нашёл аналог, возможно pixel5, но его я ещё не щупал. Качество камеры фантастика, фэйс тайм и прочее работает на ура. Дисплей очень яркий. Действительно отличный телефон, единственный минус - цена, она космос. Однозначно советую и в руке лежит как литой.!!",Хороший
Почти все хорошо. И экран и быстрота и интерфейс,ОЧЕНЬ НЕ ПОНРАВИЛОСЬ вплоть до замены телефона! При ответе на звонок каждый 10-20 раз включается громкая связь и глушит до боли в ухе,Дефект один,Обычный
"Экран потрясный, работает всё гладко, выглядит красиво, фоткает просто невероятно",За пол года их не нашел,"Не смотря на укрепленное стекло, лучше держите его в чехле.Силиконовый чехол дешевле и и практичнее, но толще, чем кожаный, для маленьких рук может быть чувствительно.Кожаный красиво выглядит и лучше ощущается в руках, но быстро замарывается и со временем выглядит как любая поношенная вещь из кожи.Он кажется идеальным, дальше как будто уже ничего и не нужно. Индустрия неизбежно пойдет вперед, и через несколько лет он окажется морально устаревшим. Но это не причина не кайфовать от него сейчас :)",Отличный
"1. Отличный размер! Наконец-то!2. Нормальное плоское стекло.3. Высокая светочувствительность камеры. Далеко не зеркалка, но в сумерках уже можно что-то снять.","1. OLED дисплей. Уже не настолько отвратительный, что был, например, в Х, но к вечеру рябь на дисплее очень сильно утомляет и раздражает.2. Стеклянная задняя крышка. Я так и не осознал ни одного преимущества (к беспроводной зарядке отношусь крайне холодно)3. Очень много лишнего, но платить за это все надо","Долго ждал продолжения se, но не срослось.Очень хотелось маленький телефон, ибо карманы под современные телефоны в одежде до сих пор не придумали, да и пользоваться компактным смартом в разы удобнее.Очень хорошо, что apple ушла от скругленного стекла, которое по своим конструкционным особенностям намного лучше билось и царапалось. Жалко, однако, что более практичную и дешевую алюминиевую заднюю крышку, похоже, ждать уже нет смысла.Очень печалит, что в линейке 12 iphone вообще отказались от нормальных дисплеев, но прогресс не стоит на месте и OLED современный не идет ни в какое сравнение с таковым 5-8 летней давности. Даже на средней яркости рябь на экране почти пропадает, так что летом жить с ним можно.Как бонус, отвратительный дисплей очень помогает меньше залипать в телефоне и, как следствие, имеющейся скромной батареечки хватает на полтора дня стабильно.",Хороший
"Нормально фоткает, работают две сим карты.",Дорого) кривая работа двух сим карт,"Подарил жене. Сделали е-сим, работает. Но чето режим работы двух сим они сделать нормально не смогли. Если разговариваешь по одной карте, вторая недоступна. Жена жалуется что нет выбора, с какой сим сделать звонок. В остальном все норм.",Отличный
